j =  0
(1, 1.0)
(2, 0.5)
(3, 0.5)
(4, 0.375)
(5, 0.375)
(6, 0.3125)
(7, 0.3125)
(8, 0.2890625)
(9, 0.2890625)
(10, 0.27734375)
(11, 0.27734375)
(12, 0.2724609375)
(13, 0.2724609375)
(14, 0.27001953125)
(15, 0.27001953125)
(16, 0.268890380859375)
(17, 0.268890380859375)
(18, 0.2683258056640625)
(19, 0.2683258056640625)
(20, 0.2680549621582031)
j =  1
(2, 0.5)
(3, 0.25)
(4, 0.125)
(5, 0.125)
(6, 0.09375)
(7, 0.09375)
(8, 0.0859375)
(9, 0.0859375)
(10, 0.08203125)
(11, 0.08203125)
(12, 0.08056640625)
(13, 0.08056640625)
(14, 0.079833984375)
(15, 0.079833984375)
(16, 0.079498291015625)
(17, 0.079498291015625)
(18, 0.0793304443359375)
(19, 0.0793304443359375)
(20, 0.07925033569335938)
j =  2
(3, 0.25)
(4, 0.125)
(5, 0.0625)
(6, 0.03125)
(7, 0.03125)
(8, 0.0234375)
(9, 0.0234375)
(10, 0.021484375)
(11, 0.021484375)
(12, 0.02099609375)
(13, 0.02099609375)
(14, 0.020751953125)
(15, 0.020751953125)
(16, 0.020660400390625)
(17, 0.020660400390625)
(18, 0.0206146240234375)
(19, 0.0206146240234375)
(20, 0.020593643188476562)
j =  3
(4, 0.125)
(5, 0.0625)
(6, 0.03125)
(7, 0.015625)
(8, 0.0078125)
(9, 0.0078125)
(10, 0.005859375)
(11, 0.005859375)
(12, 0.00537109375)
(13, 0.00537109375)
(14, 0.0052490234375)
(15, 0.0052490234375)
(16, 0.005218505859375)
(17, 0.005218505859375)
(18, 0.0052032470703125)
(19, 0.0052032470703125)
(20, 0.0051975250244140625)
j =  4
(5, 0.0625)
(6, 0.03125)
(7, 0.015625)
(8, 0.0078125)
(9, 0.00390625)
(10, 0.001953125)
(11, 0.001953125)
(12, 0.00146484375)
(13, 0.00146484375)
(14, 0.0013427734375)
(15, 0.0013427734375)
(16, 0.001312255859375)
(17, 0.001312255859375)
(18, 0.00130462646484375)
(19, 0.00130462646484375)
(20, 0.0013027191162109375)
j =  5
(6, 0.03125)
(7, 0.015625)
(8, 0.0078125)
(9, 0.00390625)
(10, 0.001953125)
(11, 0.0009765625)
(12, 0.00048828125)
(13, 0.00048828125)
(14, 0.0003662109375)
(15, 0.0003662109375)
(16, 0.000335693359375)
(17, 0.000335693359375)
(18, 0.00032806396484375)
(19, 0.00032806396484375)
(20, 0.0003261566162109375)
j =  6
(7, 0.015625)
(8, 0.0078125)
(9, 0.00390625)
(10, 0.001953125)
(11, 0.0009765625)
(12, 0.00048828125)
(13, 0.000244140625)
(14, 0.0001220703125)
(15, 0.0001220703125)
(16, 9.1552734375e-05)
(17, 9.1552734375e-05)
(18, 8.392333984375e-05)
(19, 8.392333984375e-05)
(20, 8.20159912109375e-05)
j =  7
(8, 0.0078125)
(9, 0.00390625)
(10, 0.001953125)
(11, 0.0009765625)
(12, 0.00048828125)
(13, 0.000244140625)
(14, 0.0001220703125)
(15, 6.103515625e-05)
(16, 3.0517578125e-05)
(17, 3.0517578125e-05)
(18, 2.288818359375e-05)
(19, 2.288818359375e-05)
(20, 2.09808349609375e-05)
j =  8
(9, 0.00390625)
(10, 0.001953125)
(11, 0.0009765625)
(12, 0.00048828125)
(13, 0.000244140625)
(14, 0.0001220703125)
(15, 6.103515625e-05)
(16, 3.0517578125e-05)
(17, 1.52587890625e-05)
(18, 7.62939453125e-06)
(19, 7.62939453125e-06)
(20, 5.7220458984375e-06)
j =  9
(10, 0.001953125)
(11, 0.0009765625)
(12, 0.00048828125)
(13, 0.000244140625)
(14, 0.0001220703125)
(15, 6.103515625e-05)
(16, 3.0517578125e-05)
(17, 1.52587890625e-05)
(18, 7.62939453125e-06)
(19, 3.814697265625e-06)
(20, 1.9073486328125e-06)
j =  10
(11, 0.0009765625)
(12, 0.00048828125)
(13, 0.000244140625)
(14, 0.0001220703125)
(15, 6.103515625e-05)
(16, 3.0517578125e-05)
(17, 1.52587890625e-05)
(18, 7.62939453125e-06)
(19, 3.814697265625e-06)
(20, 1.9073486328125e-06)
j =  11
(12, 0.00048828125)
(13, 0.000244140625)
(14, 0.0001220703125)
(15, 6.103515625e-05)
(16, 3.0517578125e-05)
(17, 1.52587890625e-05)
(18, 7.62939453125e-06)
(19, 3.814697265625e-06)
(20, 1.9073486328125e-06)
j =  12
(13, 0.000244140625)
(14, 0.0001220703125)
(15, 6.103515625e-05)
(16, 3.0517578125e-05)
(17, 1.52587890625e-05)
(18, 7.62939453125e-06)
(19, 3.814697265625e-06)
(20, 1.9073486328125e-06)
j =  13
(14, 0.0001220703125)
(15, 6.103515625e-05)
(16, 3.0517578125e-05)
(17, 1.52587890625e-05)
(18, 7.62939453125e-06)
(19, 3.814697265625e-06)
(20, 1.9073486328125e-06)
j =  14
(15, 6.103515625e-05)
(16, 3.0517578125e-05)
(17, 1.52587890625e-05)
(18, 7.62939453125e-06)
(19, 3.814697265625e-06)
(20, 1.9073486328125e-06)
j =  15
(16, 3.0517578125e-05)
(17, 1.52587890625e-05)
(18, 7.62939453125e-06)
(19, 3.814697265625e-06)
(20, 1.9073486328125e-06)
j =  16
(17, 1.52587890625e-05)
(18, 7.62939453125e-06)
(19, 3.814697265625e-06)
(20, 1.9073486328125e-06)
j =  17
(18, 7.62939453125e-06)
(19, 3.814697265625e-06)
(20, 1.9073486328125e-06)
j =  18
(19, 3.814697265625e-06)
(20, 1.9073486328125e-06)
j =  19
(20, 1.9073486328125e-06)
